image_id,model_name,num_detections,detected_labels,avg_confidence,processing_time_ms
1501822123109584.png,yolo11m,14,car;truck;car;car;car;traffic light;traffic light;traffic light;traffic light;car;traffic light;traffic light;car;traffic light,0.75,881.91
1501822123109584.png,yolov5m,16,car;truck;car;car;traffic light;car;traffic light;car;traffic light;traffic light;train;traffic light;traffic light;car;traffic light;traffic light,0.73,438.65
1501822123278663.png,yolo11m,15,car;truck;car;car;car;car;traffic light;traffic light;traffic light;traffic light;traffic light;car;traffic light;car;traffic light,0.75,541.92
1501822123278663.png,yolov5m,18,car;truck;car;car;car;traffic light;traffic light;traffic light;car;traffic light;traffic light;car;car;traffic light;traffic light;train;traffic light;car,0.70,424.85
1501822123447719.png,yolo11m,14,car;car;truck;car;car;traffic light;traffic light;traffic light;traffic light;traffic light;traffic light;car;car;traffic light,0.76,545.56
1501822123447719.png,yolov5m,17,truck;car;car;car;traffic light;traffic light;traffic light;traffic light;car;traffic light;car;car;traffic light;traffic light;train;car;traffic light,0.70,398.28
1501822123617790.png,yolo11m,14,car;car;traffic light;car;traffic light;truck;traffic light;traffic light;traffic light;car;traffic light;car;car;traffic light,0.71,574.46
1501822123617790.png,yolov5m,14,car;truck;car;traffic light;car;traffic light;traffic light;traffic light;car;car;traffic light;traffic light;traffic light;train,0.74,372.26
1501822123786859.png,yolo11m,15,car;truck;car;car;traffic light;traffic light;traffic light;car;traffic light;traffic light;traffic light;car;traffic light;car;car,0.67,536.42
1501822123786859.png,yolov5m,14,car;truck;car;traffic light;traffic light;traffic light;traffic light;traffic light;car;traffic light;traffic light;car;car;car,0.72,399.97
1501822123955932.png,yolo11m,14,car;car;traffic light;truck;traffic light;car;car;traffic light;traffic light;traffic light;car;traffic light;traffic light;car,0.68,684.11
1501822123955932.png,yolov5m,18,car;truck;traffic light;car;traffic light;traffic light;car;car;traffic light;traffic light;traffic light;car;car;train;traffic light;traffic light;car;traffic light,0.64,405.38
1501822124125010.png,yolo11m,15,car;car;truck;traffic light;car;traffic light;traffic light;traffic light;traffic light;car;traffic light;car;car;traffic light;car,0.70,505.06
1501822124125010.png,yolov5m,16,car;truck;traffic light;traffic light;traffic light;traffic light;traffic light;car;traffic light;car;car;car;car;car;train;traffic light,0.65,428.01
1501822124293949.png,yolo11m,13,car;truck;car;traffic light;car;traffic light;traffic light;traffic light;traffic light;traffic light;car;car;traffic light,0.71,570.27
1501822124293949.png,yolov5m,14,car;truck;traffic light;car;traffic light;traffic light;traffic light;traffic light;car;car;traffic light;car;train;car,0.71,376.10
1501822124463031.png,yolo11m,13,car;car;traffic light;traffic light;car;traffic light;traffic light;car;traffic light;truck;traffic light;car;traffic light,0.72,542.64
1501822124463031.png,yolov5m,15,car;truck;traffic light;traffic light;car;traffic light;car;traffic light;traffic light;traffic light;car;car;traffic light;train;traffic light,0.71,407.29
1501822124971206.png,yolo11m,14,car;car;traffic light;traffic light;traffic light;car;traffic light;traffic light;truck;traffic light;car;car;car;traffic light,0.66,545.57
1501822124971206.png,yolov5m,15,car;car;traffic light;traffic light;truck;traffic light;traffic light;car;traffic light;traffic light;car;car;train;traffic light;car,0.66,415.51
1501822125140259.png,yolo11m,13,car;car;car;traffic light;traffic light;traffic light;traffic light;truck;traffic light;car;traffic light;traffic light;car,0.72,543.68
1501822125140259.png,yolov5m,16,car;car;truck;traffic light;car;traffic light;traffic light;traffic light;traffic light;car;traffic light;car;car;traffic light;car;train,0.65,373.18
1501822125309337.png,yolo11m,15,car;car;traffic light;traffic light;traffic light;traffic light;traffic light;car;car;traffic light;car;truck;traffic light;car;car,0.68,527.34
1501822125309337.png,yolov5m,16,car;car;traffic light;car;traffic light;traffic light;traffic light;traffic light;truck;car;car;traffic light;car;train;traffic light;car,0.67,418.52
1501822125478393.png,yolo11m,15,car;car;car;traffic light;traffic light;traffic light;traffic light;car;traffic light;traffic light;truck;car;car;car;traffic light,0.64,910.23
1501822125478393.png,yolov5m,15,car;car;car;traffic light;traffic light;traffic light;traffic light;traffic light;truck;traffic light;car;car;train;car;car,0.67,369.53
1501822125648508.png,yolo11m,16,car;car;car;traffic light;traffic light;traffic light;traffic light;traffic light;traffic light;traffic light;car;car;truck;car;car;car,0.66,486.24
1501822125648508.png,yolov5m,17,car;car;car;traffic light;traffic light;traffic light;truck;traffic light;traffic light;traffic light;car;car;train;truck;traffic light;car;traffic light,0.64,365.44
1501822125817540.png,yolo11m,14,car;car;car;traffic light;traffic light;traffic light;traffic light;traffic light;traffic light;truck;traffic light;car;car;car,0.74,490.55
1501822125817540.png,yolov5m,17,car;car;car;traffic light;traffic light;traffic light;traffic light;truck;traffic light;car;car;truck;train;traffic light;car;car;traffic light,0.64,397.97
1501822125986613.png,yolo11m,17,car;car;traffic light;traffic light;traffic light;car;traffic light;traffic light;traffic light;car;truck;truck;car;traffic light;car;car;car,0.63,542.37
1501822125986613.png,yolov5m,16,car;traffic light;car;traffic light;car;traffic light;traffic light;traffic light;truck;car;car;truck;traffic light;traffic light;train;car,0.66,412.20
1501822126155725.png,yolo11m,17,car;car;traffic light;traffic light;truck;traffic light;traffic light;traffic light;traffic light;truck;traffic light;car;car;car;car;car;car,0.61,487.58
1501822126155725.png,yolov5m,12,car;car;traffic light;traffic light;traffic light;traffic light;truck;traffic light;traffic light;truck;car;traffic light,0.73,390.66
1501822126324811.png,yolo11m,15,car;car;traffic light;traffic light;traffic light;traffic light;traffic light;truck;car;traffic light;car;car;traffic light;truck;car,0.65,512.59
1501822126324811.png,yolov5m,13,car;car;traffic light;traffic light;truck;traffic light;traffic light;traffic light;traffic light;truck;car;traffic light;train,0.71,378.76
1501822126493843.png,yolo11m,15,car;car;traffic light;traffic light;traffic light;car;traffic light;truck;traffic light;traffic light;car;traffic light;car;truck;car,0.67,562.56
1501822126493843.png,yolov5m,13,car;car;traffic light;traffic light;traffic light;traffic light;traffic light;car;truck;traffic light;traffic light;car;truck,0.71,382.08
1501822126663941.png,yolo11m,18,car;car;traffic light;traffic light;traffic light;traffic light;car;traffic light;traffic light;car;truck;traffic light;train;car;truck;car;car;car,0.64,596.59
1501822126663941.png,yolov5m,16,car;traffic light;traffic light;traffic light;car;traffic light;truck;traffic light;car;car;traffic light;car;traffic light;car;traffic light;train,0.67,388.45
1501822127002016.png,yolo11m,16,car;car;truck;traffic light;traffic light;traffic light;traffic light;truck;traffic light;truck;traffic light;car;car;car;traffic light;train,0.59,502.17
1501822127002016.png,yolov5m,16,car;car;truck;traffic light;traffic light;traffic light;traffic light;traffic light;traffic light;car;truck;car;truck;traffic light;train;traffic light,0.65,411.95
1501822127171047.png,yolo11m,18,car;car;truck;traffic light;traffic light;traffic light;traffic light;traffic light;truck;car;car;truck;traffic light;car;truck;traffic light;car;traffic light,0.60,512.27
1501822127171047.png,yolov5m,17,traffic light;car;traffic light;car;traffic light;truck;traffic light;traffic light;traffic light;truck;truck;car;car;traffic light;truck;car;traffic light,0.63,383.35
1501822127341133.png,yolo11m,14,car;car;traffic light;traffic light;traffic light;traffic light;truck;traffic light;car;car;car;truck;truck;traffic light,0.68,552.22
1501822127341133.png,yolov5m,17,traffic light;traffic light;car;car;car;traffic light;traffic light;traffic light;truck;truck;traffic light;car;traffic light;truck;car;car;traffic light,0.64,412.68
1501822127509205.png,yolo11m,15,car;car;traffic light;traffic light;car;traffic light;traffic light;car;traffic light;traffic light;truck;truck;car;car;traffic light,0.66,516.12
1501822127509205.png,yolov5m,17,traffic light;car;traffic light;car;car;traffic light;traffic light;truck;car;traffic light;truck;traffic light;car;traffic light;car;traffic light;truck,0.64,429.38
1501822127680260.png,yolo11m,16,car;car;traffic light;traffic light;traffic light;traffic light;traffic light;car;truck;car;traffic light;truck;car;truck;car;traffic light,0.65,760.63
1501822127680260.png,yolov5m,15,car;traffic light;car;car;traffic light;car;traffic light;traffic light;traffic light;traffic light;truck;car;truck;car;car,0.68,557.72
1501822127849331.png,yolo11m,17,car;car;traffic light;traffic light;traffic light;traffic light;car;car;traffic light;traffic light;truck;truck;truck;train;traffic light;car;car,0.67,610.61
1501822127849331.png,yolov5m,16,traffic light;car;car;traffic light;car;car;traffic light;traffic light;car;truck;traffic light;traffic light;car;truck;car;traffic light,0.67,526.18
1501822128017374.png,yolo11m,17,car;car;traffic light;traffic light;traffic light;traffic light;traffic light;truck;car;car;traffic light;truck;truck;traffic light;truck;car;car,0.63,527.55
1501822128017374.png,yolov5m,16,traffic light;car;car;car;traffic light;traffic light;car;traffic light;traffic light;truck;truck;car;truck;traffic light;car;car,0.66,408.52
1501822128187563.png,yolo11m,14,truck;car;car;traffic light;traffic light;car;traffic light;traffic light;car;traffic light;traffic light;traffic light;truck;car,0.70,532.02
1501822128187563.png,yolov5m,15,traffic light;car;car;traffic light;traffic light;car;traffic light;car;traffic light;truck;car;traffic light;truck;traffic light;train,0.66,360.94
1501822128356621.png,yolo11m,15,truck;car;car;car;traffic light;traffic light;traffic light;traffic light;car;traffic light;traffic light;traffic light;car;car;train,0.71,494.57
